Time,Type,ID,x,y,Target/finish
40,robot,3,90.5,57.5,1
40,task,0,0.652784802685132,0.29830276735556926,True
40,task,1,0.9669622001623905,0.9198501605372782,False
40,task,2,0.6358708041446514,0.7527320970790866,False
40,task,3,0.5151536963223518,0.82589525837557,True
41,robot,0,58.5,73.5,2
41,robot,1,65.5,29.5,-1
41,robot,2,51.5,82.5,-1
41,robot,3,90.5,58.5,1
41,task,0,0.652784802685132,0.29830276735556926,True
41,task,1,0.9669622001623905,0.9198501605372782,False
41,task,2,0.6358708041446514,0.7527320970790866,False
41,task,3,0.5151536963223518,0.82589525837557,True
42,robot,0,59.5,73.5,2
42,robot,1,65.5,29.5,-1
42,robot,2,51.5,82.5,-1
42,robot,3,90.5,59.5,1
42,task,0,0.652784802685132,0.29830276735556926,True
42,task,1,0.9669622001623905,0.9198501605372782,False
42,task,2,0.6358708041446514,0.7527320970790866,False
42,task,3,0.5151536963223518,0.82589525837557,True
43,robot,0,60.5,74.5,2
43,robot,1,65.5,29.5,-1
43,robot,2,51.5,82.5,-1
43,robot,3,90.5,60.5,1
43,task,0,0.652784802685132,0.29830276735556926,True
43,task,1,0.9669622001623905,0.9198501605372782,False
43,task,2,0.6358708041446514,0.7527320970790866,False
43,task,3,0.5151536963223518,0.82589525837557,True
44,robot,0,61.5,74.5,2
44,robot,1,65.5,29.5,-1
44,robot,2,51.5,82.5,-1
44,robot,3,90.5,61.5,1
44,task,0,0.652784802685132,0.29830276735556926,True
44,task,1,0.9669622001623905,0.9198501605372782,False
44,task,2,0.6358708041446514,0.7527320970790866,False
44,task,3,0.5151536963223518,0.82589525837557,True
45,robot,0,62.5,75.5,2
45,robot,1,65.5,29.5,-1
45,robot,2,51.5,82.5,-1
45,robot,3,90.5,62.5,1
45,task,0,0.652784802685132,0.29830276735556926,True
45,task,1,0.9669622001623905,0.9198501605372782,False
45,task,2,0.6358708041446514,0.7527320970790866,False
45,task,3,0.5151536963223518,0.82589525837557,True
46,robot,0,63.5,75.5,2
46,robot,1,65.5,29.5,-1
46,robot,2,51.5,82.5,-1
46,robot,3,90.5,63.5,1
46,task,0,0.652784802685132,0.29830276735556926,True
46,task,1,0.9669622001623905,0.9198501605372782,False
46,task,2,0.6358708041446514,0.7527320970790866,False
46,task,3,0.5151536963223518,0.82589525837557,True
47,robot,0,63.5,75.5,-1
47,robot,1,65.5,29.5,-1
47,robot,2,51.5,82.5,-1
47,robot,3,90.5,64.5,1
47,task,0,0.652784802685132,0.29830276735556926,True
47,task,1,0.9669622001623905,0.9198501605372782,False
47,task,2,0.6358708041446514,0.7527320970790866,True
47,task,3,0.5151536963223518,0.82589525837557,True
48,robot,0,63.5,75.5,-1
48,robot,1,65.5,29.5,-1
48,robot,2,51.5,82.5,-1
48,robot,3,90.5,65.5,1
48,task,0,0.652784802685132,0.29830276735556926,True
48,task,1,0.9669622001623905,0.9198501605372782,False
48,task,2,0.6358708041446514,0.7527320970790866,True
48,task,3,0.5151536963223518,0.82589525837557,True
49,robot,0,63.5,75.5,-1
49,robot,1,65.5,29.5,-1
49,robot,2,51.5,82.5,-1
49,robot,3,90.5,66.5,1
49,task,0,0.652784802685132,0.29830276735556926,True
49,task,1,0.9669622001623905,0.9198501605372782,False
49,task,2,0.6358708041446514,0.7527320970790866,True
49,task,3,0.5151536963223518,0.82589525837557,True
50,robot,0,63.5,75.5,-1
50,robot,1,65.5,29.5,-1
50,robot,2,51.5,82.5,-1
50,robot,3,90.5,67.5,1
50,task,0,0.652784802685132,0.29830276735556926,True
50,task,1,0.9669622001623905,0.9198501605372782,False
50,task,2,0.6358708041446514,0.7527320970790866,True
50,task,3,0.5151536963223518,0.82589525837557,True
51,robot,0,63.5,75.5,-1
51,robot,1,65.5,29.5,-1
51,robot,2,51.5,82.5,-1
51,robot,3,90.5,68.5,1
51,task,0,0.652784802685132,0.29830276735556926,True
51,task,1,0.9669622001623905,0.9198501605372782,False
51,task,2,0.6358708041446514,0.7527320970790866,True
51,task,3,0.5151536963223518,0.82589525837557,True
52,robot,0,63.5,75.5,-1
52,robot,1,65.5,29.5,-1
52,robot,2,51.5,82.5,-1
52,robot,3,90.5,69.5,1
52,task,0,0.652784802685132,0.29830276735556926,True
52,task,1,0.9669622001623905,0.9198501605372782,False
52,task,2,0.6358708041446514,0.7527320970790866,True
52,task,3,0.5151536963223518,0.82589525837557,True
53,robot,0,63.5,75.5,-1
53,robot,1,65.5,29.5,-1
53,robot,2,51.5,82.5,-1
53,robot,3,90.5,70.5,1
53,task,0,0.652784802685132,0.29830276735556926,True
53,task,1,0.9669622001623905,0.9198501605372782,False
53,task,2,0.6358708041446514,0.7527320970790866,True
53,task,3,0.5151536963223518,0.82589525837557,True
54,robot,0,63.5,75.5,-1
54,robot,1,65.5,29.5,-1
54,robot,2,51.5,82.5,-1
54,robot,3,90.5,71.5,1
54,task,0,0.652784802685132,0.29830276735556926,True
54,task,1,0.9669622001623905,0.9198501605372782,False
54,task,2,0.6358708041446514,0.7527320970790866,True
54,task,3,0.5151536963223518,0.82589525837557,True
55,robot,0,63.5,75.5,-1
55,robot,1,65.5,29.5,-1
55,robot,2,51.5,82.5,-1
55,robot,3,90.5,72.5,1
55,task,0,0.652784802685132,0.29830276735556926,True
55,task,1,0.9669622001623905,0.9198501605372782,False
55,task,2,0.6358708041446514,0.7527320970790866,True
55,task,3,0.5151536963223518,0.82589525837557,True
56,robot,0,63.5,75.5,-1
56,robot,1,65.5,29.5,-1
56,robot,2,51.5,82.5,-1
56,robot,3,90.5,73.5,1
56,task,0,0.652784802685132,0.29830276735556926,True
56,task,1,0.9669622001623905,0.9198501605372782,False
56,task,2,0.6358708041446514,0.7527320970790866,True
56,task,3,0.5151536963223518,0.82589525837557,True
57,robot,0,63.5,75.5,-1
57,robot,1,65.5,29.5,-1
57,robot,2,51.5,82.5,-1
57,robot,3,90.5,74.5,1
57,task,0,0.652784802685132,0.29830276735556926,True
57,task,1,0.9669622001623905,0.9198501605372782,False
57,task,2,0.6358708041446514,0.7527320970790866,True
57,task,3,0.5151536963223518,0.82589525837557,True
58,robot,0,63.5,75.5,-1
58,robot,1,65.5,29.5,-1
58,robot,2,51.5,82.5,-1
58,robot,3,90.5,75.5,1
58,task,0,0.652784802685132,0.29830276735556926,True
58,task,1,0.9669622001623905,0.9198501605372782,False
58,task,2,0.6358708041446514,0.7527320970790866,True
58,task,3,0.5151536963223518,0.82589525837557,True
59,robot,0,63.5,75.5,-1
59,robot,1,65.5,29.5,-1
59,robot,2,51.5,82.5,-1
59,robot,3,90.5,76.5,1
59,task,0,0.652784802685132,0.29830276735556926,True
59,task,1,0.9669622001623905,0.9198501605372782,False
59,task,2,0.6358708041446514,0.7527320970790866,True
59,task,3,0.5151536963223518,0.82589525837557,True
60,robot,0,63.5,75.5,-1
60,robot,1,65.5,29.5,-1
60,robot,2,51.5,82.5,-1
60,robot,3,90.5,77.5,1
60,task,0,0.652784802685132,0.29830276735556926,True
60,task,1,0.9669622001623905,0.9198501605372782,False
60,task,2,0.6358708041446514,0.7527320970790866,True
60,task,3,0.5151536963223518,0.82589525837557,True
61,robot,0,63.5,75.5,-1
61,robot,1,65.5,29.5,-1
61,robot,2,51.5,82.5,-1
61,robot,3,90.5,78.5,1
61,task,0,0.652784802685132,0.29830276735556926,True
61,task,1,0.9669622001623905,0.9198501605372782,False
61,task,2,0.6358708041446514,0.7527320970790866,True
61,task,3,0.5151536963223518,0.82589525837557,True
62,robot,0,63.5,75.5,-1
62,robot,1,65.5,29.5,-1
62,robot,2,51.5,82.5,-1
62,robot,3,90.5,79.5,1
62,task,0,0.652784802685132,0.29830276735556926,True
62,task,1,0.9669622001623905,0.9198501605372782,False
62,task,2,0.6358708041446514,0.7527320970790866,True
62,task,3,0.5151536963223518,0.82589525837557,True
63,robot,0,63.5,75.5,-1
63,robot,1,65.5,29.5,-1
63,robot,2,51.5,82.5,-1
63,robot,3,91.5,80.5,1
63,task,0,0.652784802685132,0.29830276735556926,True
63,task,1,0.9669622001623905,0.9198501605372782,False
63,task,2,0.6358708041446514,0.7527320970790866,True
63,task,3,0.5151536963223518,0.82589525837557,True
64,robot,0,63.5,75.5,-1
64,robot,1,65.5,29.5,-1
64,robot,2,51.5,82.5,-1
64,robot,3,92.5,81.5,1
64,task,0,0.652784802685132,0.29830276735556926,True
64,task,1,0.9669622001623905,0.9198501605372782,False
64,task,2,0.6358708041446514,0.7527320970790866,True
64,task,3,0.5151536963223518,0.82589525837557,True
65,robot,0,63.5,75.5,-1
65,robot,1,65.5,29.5,-1
65,robot,2,51.5,82.5,-1
65,robot,3,92.5,82.5,1
65,task,0,0.652784802685132,0.29830276735556926,True
65,task,1,0.9669622001623905,0.9198501605372782,False
65,task,2,0.6358708041446514,0.7527320970790866,True
65,task,3,0.5151536963223518,0.82589525837557,True
66,robot,0,63.5,75.5,-1
66,robot,1,65.5,29.5,-1
66,robot,2,51.5,82.5,-1
66,robot,3,92.5,83.5,1
66,task,0,0.652784802685132,0.29830276735556926,True
66,task,1,0.9669622001623905,0.9198501605372782,False
66,task,2,0.6358708041446514,0.7527320970790866,True
66,task,3,0.5151536963223518,0.82589525837557,True
67,robot,0,63.5,75.5,-1
67,robot,1,65.5,29.5,-1
67,robot,2,51.5,82.5,-1
67,robot,3,93.5,84.5,1
67,task,0,0.652784802685132,0.29830276735556926,True
67,task,1,0.9669622001623905,0.9198501605372782,False
67,task,2,0.6358708041446514,0.7527320970790866,True
67,task,3,0.5151536963223518,0.82589525837557,True
68,robot,0,63.5,75.5,-1
68,robot,1,65.5,29.5,-1
68,robot,2,51.5,82.5,-1
68,robot,3,93.5,85.5,1
68,task,0,0.652784802685132,0.29830276735556926,True
68,task,1,0.9669622001623905,0.9198501605372782,False
68,task,2,0.6358708041446514,0.7527320970790866,True
68,task,3,0.5151536963223518,0.82589525837557,True
69,robot,0,63.5,75.5,-1
69,robot,1,65.5,29.5,-1
69,robot,2,51.5,82.5,-1
69,robot,3,94.5,86.5,1
69,task,0,0.652784802685132,0.29830276735556926,True
69,task,1,0.9669622001623905,0.9198501605372782,False
69,task,2,0.6358708041446514,0.7527320970790866,True
69,task,3,0.5151536963223518,0.82589525837557,True
70,robot,0,63.5,75.5,-1
70,robot,1,65.5,29.5,-1
70,robot,2,51.5,82.5,-1
70,robot,3,94.5,87.5,1
70,task,0,0.652784802685132,0.29830276735556926,True
70,task,1,0.9669622001623905,0.9198501605372782,False
70,task,2,0.6358708041446514,0.7527320970790866,True
70,task,3,0.5151536963223518,0.82589525837557,True
71,robot,0,63.5,75.5,-1
71,robot,1,65.5,29.5,-1
71,robot,2,51.5,82.5,-1
71,robot,3,95.5,88.5,1
71,task,0,0.652784802685132,0.29830276735556926,True
71,task,1,0.9669622001623905,0.9198501605372782,False
71,task,2,0.6358708041446514,0.7527320970790866,True
71,task,3,0.5151536963223518,0.82589525837557,True
72,robot,0,63.5,75.5,-1
72,robot,1,65.5,29.5,-1
72,robot,2,51.5,82.5,-1
72,robot,3,95.5,89.5,1
72,task,0,0.652784802685132,0.29830276735556926,True
72,task,1,0.9669622001623905,0.9198501605372782,False
72,task,2,0.6358708041446514,0.7527320970790866,True
72,task,3,0.5151536963223518,0.82589525837557,True
73,robot,0,63.5,75.5,-1
